Name,Frequency
BOI_GND,121.700
BOS_S_CTR-,128.750
BNA_GND,121.900
BOS_21_CTR-,132.650
BOW_GND,121.900
BPT_GND,121.900
BOS_SW_CTR-,135.800
BRO_GND,121.900
BTR_GND,121.900
BOS_M_GND-,131.100
BNA_E_APP,127.175
BOS_E_CTR-,133.450
BOS_HE_CTR-,128.750
BOS_R_CTR-,134.700
BPT_DEL,118.300
BOS_TWR-,128.800
BNA_S_APP,128.750
BOS_G_GND-,121.900
BOS_L_APP-,124.100
BTR_E_APP,126.500
BOS_36_CTR-,123.750
BOS_R_TWR-,131.100
BOS_D_GND-,129.650
BOS_S_GND-,131.850
BOS_23_CTR-,133.250
BPT_TWR,119.500
BOS_B_GND-,121.750
BOS_H_TWR-,124.725
BOS_08_CTR-,135.250
BTR_TWR,118.450
BOS_05_CTR-,134.300
BOS_46_CTR-,127.975
BQN_GND,120.875
BOS_10_CTR-,124.125
BRM_TWR,126.000
BOS_02_CTR-,134.950
BOS_37_CTR-,134.700
BNA_X_DEP,119.350
BOW_TWR,121.200
BNA_B_APP,133.000
BOS_22_CTR-,121.350
BOS_53_CTR-,118.820
BTR_APP,120.300
BOI_S_APP,119.600
BOS_GND-,121.900
BOS_01_CTR-,128.050
BNA_F_APP,124.750
BOS_20_CTR-,125.570
BOS_06_CTR-,128.100
BSF_TWR,126.300
BOS_15_CTR-,124.250
BOS_T_CTR-,127.650
BOS_D_DEL-,129.650
BOS_31_CTR-,124.525
BOS_07_CTR-,127.650
BTL_GND,121.700
BOS_24_CTR-,127.375
BOS_39_CTR-,128.325
BOS_A_CTR-,134.000
BOS_B_APP-,124.400
BOS_APP-,133.000
BQN_TWR,124.950
BOS_F_APP-,126.500
BNA_W_APP,120.600
BOS_U_APP-,127.200
BOI_DEL,125.900
BOI_TWR,118.100
BOS_S_APP-,120.600
BOS_N_APP-,118.250
BOS_N_CTR-,123.750
CG_GND,121.800
CHA_F_APP,126.500
CARI_B_FSS,131.350
BUR_TWR,118.700
BWI_APP,119.700
CFO_TWR,120.200
CARE_B_FSS,131.550
BUR_DEL,118.000
BUR_APP,128.750
BTV_DEL-,119.150
CAE_F_APP,128.500
BWI_W_GND,121.900
BTV_E_APP-,121.100
CFS_TWR,118.200
BWI_GND,121.900
BTV_TWR-,118.300
CAK_TWR,134.750
CBM_GND,121.900
CAE_GND,121.900
BVY_GND-,121.600
BUR_M_APP,128.750
C90_GUARD,121.500
BWI_S_APP,119.700
CAK_GND,121.700
BWI_Z_APP,132.775
CG_TWR,118.700
CEF_GND-,118.350
BUF_DEL,124.700
CCR_GND,121.900
CAK_S_APP,118.600
BUR_V_APP,124.600
CARW_FSS,131.700
CDB_F_TWR,1236.000
