SID:020,5,EKLA1B, ,AA009,UA,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,-,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EKLA1B, ,AA010,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,EKLA1B, ,AA014,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,EKLA1B, ,AA030,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,EKLA1B, ,AA032,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,EKLA1B, ,EKLAT,UA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL220,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EKLA2E,RW05B,ATA,UA,D, ,VY  , ,   ,CF, ,ATA,UA,D, ,      ,0000,0000,0510,0020, ,     ,     ,10000, ,   ,    ,   ,ATA,UA,D, , , , , ;
SID:020,2,EKLA2E,RW05B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0510,    ,+,03200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,EKLA2E,RW05B,OGIRU,UA,P,C,E C ,L,   ,CF, ,ATA,UA,D, ,      ,3129,0150,2810,0140, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,EKLA2E,RW05B,EKLAT,UA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ETED1B,RW05L,DE05L,UA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,ATA,UA,D, , , , , ;
SID:015,4,ETED1B,RW05L,AA008,UA,P,C,EB  , ,   ,CF, ,ATA,UA,D, ,      ,0490,0035,0510,0040,+,03300,     ,     ,-,240,    ,   , , , , , , , , ;
SID:010,4,ETED1B,RW05R,DE05R,UA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,ATA,UA,D, , , , , ;
SID:015,4,ETED1B,RW05R,AA008,UA,P,C,EB  , ,   ,CF, ,ATA,UA,D, ,      ,0490,0035,0510,0047,+,03300,     ,     ,-,240,    ,   , , , , , , , , ;
SID:015,5,ETED1B, ,AA008,UA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03300,     ,10000,-,240,    ,   ,ATA,UA,D, , , , , ;
SID:020,5,ETED1B, ,AA009,UA,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,-,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ETED1B, ,AA010,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ETED1B, ,AA027,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:045,5,ETED1B, ,AA028,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:047,5,ETED1B, ,AA025,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
