STAR:040,5,GUMO1M,RW18L,XUSRA,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,GUMO1M,RW18L,XUVET,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,5,GUMO1M,RW18L,OVNIK,DN,P,C,E  H,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,5,GUMO1M,RW18L,EDKUV,DN,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02810,     ,     ,-,200,    ,   , , , , , , , , ;
STAR:010,5,GUMO1N,RW18R,GUMOM,DN,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,LAG,DN,D, , , , , ;
STAR:020,5,GUMO1N,RW18R,EPEXI,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     ,-,240,    ,   , , , , , , , , ;
STAR:030,5,GUMO1N,RW18R,VORDI,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,GUMO1N,RW18R,XUSRA,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,GUMO1N,RW18R,XUVET,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,5,GUMO1N,RW18R,OVNIK,DN,P,C,E  H,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,5,GUMO1N,RW18R,MOLOP,DN,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     ,-,200,    ,   , , , , , , , , ;
STAR:010,5,ILKE1N,RW18R,ILKEL,DN,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,LAG,DN,D, , , , , ;
STAR:020,5,ILKE1N,RW18R,MM505,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ILKE1N,RW18R,MOLOP,DN,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     ,-,200,    ,   , , , , , , , , ;
STAR:010,5,TYE1N,RW18R,TYE,DB,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,LAG,DN,D, , , , , ;
STAR:020,5,TYE1N,RW18R,MM504,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,TYE1N,RW18R,EBSEX,DN,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,TYE1N,RW18R,MOLOP,DN,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     ,-,200,    ,   , , , , , , , , ;
APPCH:010,A,D18L,LAG,LAG,DN,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,05000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D18L,LAG,LAG,DN,D, ,VE H,L,   ,HF, , , , , ,      ,    ,    ,1810,0070, ,02300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D18L, ,LAG,DN,D, ,V  F, ,   ,IF, ,LAG,DN,D, ,      ,0000,0000,    ,    , ,02300,     ,05000, ,   ,    ,   ,LAG,DN,D, , ,0, ,S;
APPCH:030,D,D18L, ,RW18L,DN,P,G,G  M, ,   ,CF, ,LAG,DN,D, ,      ,1813,0066,1810,0066, ,00188,     ,     , ,   ,-301,   , , , , , ,0, ,S;
APPCH:040,D,D18L, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1810,    ,+,01000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D18L, ,LAG,DN,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D18L, ,LAG,DN,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,1810,T010,+,03500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D18R,LAG,LAG,DN,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,05000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D18R,LAG,LAG,DN,D, ,VE H,L,   ,HF, , , , , ,      ,    ,    ,1900,0070, ,02200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D18R, ,LAG,DN,D, ,V  F, ,   ,IF, ,LAG,DN,D, ,      ,0000,0000,    ,    , ,02200,     ,05000, ,   ,    ,   ,LAG,DN,D, , ,0, ,S;
APPCH:030,D,D18R, ,MD18R,DN,P,C,E  M, ,   ,CF, ,LAG,DN,D, ,      ,1900,0064,1900,0064, ,00373,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D18R, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1900,    ,+,01000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D18R, ,LAG,DN,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D18R, ,LAG,DN,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,1900,T010,+,03500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,I18L,LAG,LAG,DN,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,05000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I18L,LAG,LAG,DN,D, ,VE H,L,   ,HF, , , , , ,      ,    ,    ,1810,0070, ,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I18L, ,CI18L,DN,P,C,E  I, ,   ,IF, ,ILA,DN,P,I,      ,0013,0102,    ,    ,I,02300,02300,05000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I18L, ,LAG,DN,D, ,V  F, ,   ,CF, ,ILA,DN,P,I,      ,0013,0082,1810,0020,G,02300,02300,     , ,   ,-300,   ,LAG,DN,D, , ,0,D,S;
APPCH:030,I,I18L, ,RW18L,DN,P,G,G  M, ,   ,CF, ,ILA,DN,P,I,      ,0013,0016,1810,0066, ,00188,     ,     , ,   ,-300,   , , , , , ,0,D,S;
